harness,model,repeat,passed,wall_s,cost_usd,cost_source,billing_mode,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,num_turns,retries,skipped_reason,error,harness_failed
converse,sonnet,0,1,9.429,0.002685,estimated,per_token,145,150,0,0,1,0,,,0
converse,sonnet,1,1,5.539,0.002685,estimated,per_token,145,150,0,0,1,0,,,0
converse,nova-lite,0,1,3.615,3.8e-05,estimated,per_token,134,126,0,0,1,0,,,0
converse,nova-lite,1,1,4.373,3.8e-05,estimated,per_token,134,126,0,0,1,0,,,0
converse,glm5,0,1,24.072,0.000472,estimated,per_token,137,177,0,0,1,0,,,0
converse,glm5,1,1,6.988,0.000399,estimated,per_token,137,144,0,0,1,0,,,0
cli_native,sonnet,0,1,5.513,0.00956,billed,per_token,3,134,23087,0,1,0,,,0
cli_native,sonnet,1,1,5.062,0.00956,billed,per_token,3,134,23087,0,1,0,,,0
cli_native,nova-lite,0,,0.0,,unavailable,per_token,0,0,0,0,0,0,the CLI's native Bedrock transport cannot speak Converse,,0
cli_native,nova-lite,1,,0.0,,unavailable,per_token,0,0,0,0,0,0,the CLI's native Bedrock transport cannot speak Converse,,0
cli_native,glm5,0,,0.0,,unavailable,per_token,0,0,0,0,0,0,the CLI's native Bedrock transport cannot speak Converse,,0
cli_native,glm5,1,,0.0,,unavailable,per_token,0,0,0,0,0,0,the CLI's native Bedrock transport cannot speak Converse,,0
cli_proxy,sonnet,0,1,8.343,0.00956,billed,per_token,0,0,0,0,1,0,,,0
cli_proxy,sonnet,1,1,7.215,0.00956,billed,per_token,0,0,0,0,1,0,,,0
cli_proxy,nova-lite,0,1,9.898,0.131669,billed,per_token,0,0,0,0,1,0,,,0
cli_proxy,nova-lite,1,1,8.463,0.039567,billed,per_token,0,0,0,0,1,0,,,0
cli_proxy,glm5,0,1,15.775,0.21502,billed,per_token,0,0,0,0,2,0,,,0
cli_proxy,glm5,1,1,8.842,0.10605,billed,per_token,0,0,0,0,1,0,,,0
opencode,sonnet,0,,2.55,0.0,estimated,per_token,0,0,0,0,0,0,,"opencode run exited 1: Unexpected server error (harness unavailable on this host, not a wrong answer)",1
opencode,sonnet,1,,2.477,0.0,estimated,per_token,0,0,0,0,0,0,,"opencode run exited 1: Unexpected server error (harness unavailable on this host, not a wrong answer)",1
opencode,nova-lite,0,,0.0,,unavailable,per_token,0,0,0,0,0,0,opencode has no route to this model,,0
opencode,nova-lite,1,,0.0,,unavailable,per_token,0,0,0,0,0,0,opencode has no route to this model,,0
opencode,glm5,0,,0.0,,unavailable,per_token,0,0,0,0,0,0,opencode has no route to this model,,0
opencode,glm5,1,,0.0,,unavailable,per_token,0,0,0,0,0,0,opencode has no route to this model,,0
