harness,model,repeat,passed,wall_s,cost_usd,cost_source,billing_mode,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,num_turns,retries,harness_failed,reported_usd,provider_calls,skipped_reason,error
converse,sonnet,0,1,8.359,0.002685,estimated,per_token,145,150,0,0,1,0,0,0.002685,1,,
converse,sonnet,1,1,4.934,0.002685,estimated,per_token,145,150,0,0,1,0,0,0.002685,1,,
converse,sonnet,2,1,4.777,0.002685,estimated,per_token,145,150,0,0,1,0,0,0.002685,1,,
converse,sonnet,3,1,4.649,0.002685,estimated,per_token,145,150,0,0,1,0,0,0.002685,1,,
converse,sonnet,4,1,4.692,0.002685,estimated,per_token,145,150,0,0,1,0,0,0.002685,1,,
converse,nova-lite,0,1,3.566,4e-05,estimated,per_token,134,135,0,0,1,0,0,4e-05,1,,
converse,nova-lite,1,1,3.803,3.8e-05,estimated,per_token,134,126,0,0,1,0,0,3.8e-05,1,,
converse,nova-lite,2,1,3.527,3.9e-05,estimated,per_token,134,127,0,0,1,0,0,3.9e-05,1,,
converse,nova-lite,3,1,3.391,3.8e-05,estimated,per_token,134,126,0,0,1,0,0,3.8e-05,1,,
converse,nova-lite,4,1,3.747,3.8e-05,estimated,per_token,134,126,0,0,1,0,0,3.8e-05,1,,
converse,glm5,0,1,11.559,0.000397,estimated,per_token,137,143,0,0,1,0,0,0.000397,1,,
converse,glm5,1,1,5.087,0.000555,estimated,per_token,137,215,0,0,1,0,0,0.000555,1,,
converse,glm5,2,1,7.415,0.000359,estimated,per_token,137,126,0,0,1,0,0,0.000359,1,,
converse,glm5,3,0,6.032,0.000615,estimated,per_token,137,242,0,0,1,0,0,0.000615,1,,
converse,glm5,4,1,3.682,0.000414,estimated,per_token,137,151,0,0,1,0,0,0.000414,1,,
cli_native,sonnet,0,1,5.464,0.090527,billed,per_token,3,134,0,23438,1,0,0,0.090527,1,,
cli_native,sonnet,1,1,5.603,0.00966,billed,per_token,3,134,23438,0,1,0,0,0.00966,1,,
cli_native,sonnet,2,1,4.78,0.00967,billed,per_token,3,134,23438,0,1,0,0,0.00967,1,,
cli_native,sonnet,3,1,4.639,0.009665,billed,per_token,3,134,23438,0,1,0,0,0.009665,1,,
cli_native,sonnet,4,1,5.839,0.043975,billed,per_token,3,134,13506,9945,1,0,0,0.043975,1,,
cli_native,nova-lite,0,,0.0,,unavailable,per_token,0,0,0,0,0,0,0,,0,the CLI's native Bedrock transport cannot speak Converse,
cli_native,nova-lite,1,,0.0,,unavailable,per_token,0,0,0,0,0,0,0,,0,the CLI's native Bedrock transport cannot speak Converse,
cli_native,nova-lite,2,,0.0,,unavailable,per_token,0,0,0,0,0,0,0,,0,the CLI's native Bedrock transport cannot speak Converse,
cli_native,nova-lite,3,,0.0,,unavailable,per_token,0,0,0,0,0,0,0,,0,the CLI's native Bedrock transport cannot speak Converse,
cli_native,nova-lite,4,,0.0,,unavailable,per_token,0,0,0,0,0,0,0,,0,the CLI's native Bedrock transport cannot speak Converse,
cli_native,glm5,0,,0.0,,unavailable,per_token,0,0,0,0,0,0,0,,0,the CLI's native Bedrock transport cannot speak Converse,
cli_native,glm5,1,,0.0,,unavailable,per_token,0,0,0,0,0,0,0,,0,the CLI's native Bedrock transport cannot speak Converse,
cli_native,glm5,2,,0.0,,unavailable,per_token,0,0,0,0,0,0,0,,0,the CLI's native Bedrock transport cannot speak Converse,
cli_native,glm5,3,,0.0,,unavailable,per_token,0,0,0,0,0,0,0,,0,the CLI's native Bedrock transport cannot speak Converse,
cli_native,glm5,4,,0.0,,unavailable,per_token,0,0,0,0,0,0,0,,0,the CLI's native Bedrock transport cannot speak Converse,
cli_proxy,sonnet,0,1,8.17,0.021799,estimated,per_token,1036,308,46902,0,4,0,0,0.009674,4,,
cli_proxy,sonnet,1,1,7.965,0.056182,estimated,per_token,1036,308,36975,9963,4,0,0,0.009675,4,,
cli_proxy,sonnet,2,1,10.566,0.021794,estimated,per_token,1036,307,46938,0,4,0,0,0.00967,4,,
cli_proxy,sonnet,3,1,9.751,0.021794,estimated,per_token,1036,307,46938,0,4,0,0,0.009675,4,,
cli_proxy,sonnet,4,1,9.802,0.021839,estimated,per_token,1036,310,46938,0,4,0,0,0.00968,4,,
cli_proxy,nova-lite,0,1,8.212,0.002013,estimated,per_token,12678,322,15665,15665,4,0,0,0.041092,4,,
cli_proxy,nova-lite,1,1,7.042,0.001303,estimated,per_token,12678,303,31330,0,4,0,0,0.040862,4,,
cli_proxy,nova-lite,2,1,6.891,0.001298,estimated,per_token,12678,281,31330,0,4,0,0,0.040862,4,,
cli_proxy,nova-lite,3,1,7.153,0.002009,estimated,per_token,12678,304,15665,15665,4,0,0,0.130936,4,,
cli_proxy,nova-lite,4,1,6.654,0.001304,estimated,per_token,12678,304,31330,0,4,0,0,0.040867,4,,
cli_proxy,glm5,0,1,8.778,0.02618,estimated,per_token,42599,282,0,0,4,0,0,0.10756,4,,
cli_proxy,glm5,1,1,8.587,0.026349,estimated,per_token,42591,361,0,0,4,0,0,0.107605,4,,
cli_proxy,glm5,2,1,21.347,0.026449,estimated,per_token,42593,406,0,0,4,0,0,0.108545,4,,
cli_proxy,glm5,3,1,8.669,0.026257,estimated,per_token,42596,318,0,0,4,0,0,0.107645,4,,
cli_proxy,glm5,4,1,12.043,0.02626,estimated,per_token,42593,320,0,0,4,0,0,0.108435,4,,
opencode,sonnet,0,1,5.458,0.056398,billed,per_token,3,150,0,14437,1,0,0,0.056398,1,,
opencode,sonnet,1,1,5.166,0.00659,billed,per_token,3,150,14437,0,1,0,0,0.00659,1,,
opencode,sonnet,2,1,5.204,0.00659,billed,per_token,3,150,14437,0,1,0,0,0.00659,1,,
opencode,sonnet,3,1,5.772,0.00659,billed,per_token,3,150,14437,0,1,0,0,0.00659,1,,
opencode,sonnet,4,1,6.161,0.00659,billed,per_token,3,150,14437,0,1,0,0,0.00659,1,,
opencode,nova-lite,0,1,5.493,0.000854,billed,per_token,13327,228,0,0,1,0,0,0.000854,1,,
opencode,nova-lite,1,1,5.279,0.000844,billed,per_token,13327,184,0,0,1,0,0,0.000844,1,,
opencode,nova-lite,2,1,7.036,0.001688,billed,per_token,26878,313,0,0,2,0,0,0.001688,2,,
opencode,nova-lite,3,1,5.176,0.000846,billed,per_token,13327,194,0,0,1,0,0,0.000846,1,,
opencode,nova-lite,4,1,5.204,0.000847,billed,per_token,13327,197,0,0,1,0,0,0.000847,1,,
opencode,glm5,0,0,5.126,0.012984,billed,per_token,12587,124,0,0,1,0,0,0.012984,1,,
opencode,glm5,1,1,5.058,0.012983,billed,per_token,12586,124,0,0,1,0,0,0.012983,1,,
opencode,glm5,2,1,4.941,0.013122,billed,per_token,12588,167,0,0,1,0,0,0.013122,1,,
opencode,glm5,3,1,4.798,0.01307,billed,per_token,12584,152,0,0,1,0,0,0.01307,1,,
opencode,glm5,4,1,5.525,0.013021,billed,per_token,12586,136,0,0,1,0,0,0.013021,1,,
