source,run_id,model,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,cache_unsplit_tokens,reported_cost_usd,billing_mode,retries,calls
aet_run,aetrun_73100a6dee26_002,claude-opus-4-8,4,7,0,0,111343,1.149061,,,1
aet_run,aetrun_861e166bc2e6_004,claude-opus-4-8,4,7,0,0,113809,1.217202,,,1
aet_run,aetrun_8c489619e405_001,claude-opus-4-8,2,2,0,0,94429,1.625838,,,1
aet_run,aetrun_8c489619e405_003,claude-opus-4-8,2,2,0,0,94269,1.741348,,,1
aet_run,aetrun_adbdd324f2ec_002,claude-opus-4-8,2,8,0,0,82811,1.48551,,,2
aet_run,aetrun_c4ccb545debf_001,claude-opus-4-8,2,8,0,0,81271,1.115369,,,1
aet_run,aetrun_d2a845dfd1ac_003,claude-opus-4-8,2,5,0,0,81662,1.353035,,,1
aet_run,aetrun_11b55495c421_450ab4_002,claude-sonnet-4-6,11,16,12945,64618,,1.770864,,,1
aet_run,aetrun_334de8084463_450ab4_001,claude-sonnet-4-6,8,24,0,52807,,1.537025,,,1
aet_run,aetrun_3ee7b67d3814_001,claude-opus-4-6,2,8,13364,6206,,0.899594,,,1
aet_run,aetrun_3ee7b67d3814_450ab4_001,claude-sonnet-4-6,8,16,38835,18766,,1.450686,,,1
aet_run,aetrun_3ee7b67d3814_adf6fb_001,claude-haiku-4-5-20251001,9,1,0,19485,,0.115537,,,1
aet_run,aetrun_4b584735b5b5_5bcd68_001,claude-opus-4-6,2,12,0,22036,,0.86483,,,1
aet_run,aetrun_90a299d409bd_5bcd68_001,claude-opus-4-6,2,9,0,22781,,0.911911,,,1
aet_run,aetrun_c5195201592d_002,claude-sonnet-4-6,8,16,38835,23085,,1.184303,,,1
aet_run,aetrun_c5195201592d_450ab4_002,claude-sonnet-4-6,11,24,0,77069,,2.227312,,,1
aet_run,aetrun_c5195201592d_adf6fb_002,claude-haiku-4-5-20251001,9,1,13352,6175,,0.095857,,,1
aet_run,aetrun_c77dbe5ee7bb_002,claude-opus-4-6,2,11,13364,5957,,0.582293,,,1
aet_run,aetrun_ee9a9a4ec4e3_001,claude-opus-4-6,2,9,0,19279,,0.539964,,,1
aet_run,aetrun_c77dbe5ee7bb_002,claude-haiku-4-5-20251001,9,1,13348,5884,,0.080587,,,1
aet_run,aetrun_ee9a9a4ec4e3_001,claude-haiku-4-5-20251001,9,3,0,19190,,0.098117,,,1
aet_run,aetrun_6dcf9b7f4648_450ab4_001,claude-sonnet-4-6,5,16,0,108475,,1.47065,,,1
aet_run,aetrun_6dcf9b7f4648_450ab4_002,claude-sonnet-4-6,5,16,0,108475,,1.40954,,,1
aet_run,aetrun_6dcf9b7f4648_450ab4_003,claude-sonnet-4-6,8,16,0,167852,,1.874778,,,1
aet_run,aetrun_791a398dc433_450ab4_004,claude-sonnet-4-6,8,24,12947,149927,,1.90015,,,1
aet_run,aetrun_8fad1903abf4_450ab4_006,claude-sonnet-4-6,8,16,12947,158871,,1.80076,,,1
aet_run,aetrun_b6f732cb9e88_450ab4_007,claude-sonnet-4-6,6,16,12947,131899,,1.51975,,,1
aet_run,aetrun_d5461faee031_450ab4_005,claude-sonnet-4-6,9,0,12947,215389,,2.053755,,,1
aet_run,aetrun_ed15b7f5d6d8_5ebcc8_001,claude-opus-4-8,8,13,49037,24091,,0.280022,,,1
aet_run,aetrun_06979ef0fea7_018,claude-sonnet-4-6,2,8,0,71564,,0.910257,,,1
aet_run,aetrun_1e41392b737d_007,claude-sonnet-4-6,8,16,38817,127471,,1.611403,,,1
aet_run,aetrun_1e41392b737d_008,claude-sonnet-4-6,8,16,54183,124287,,1.603488,,,1
aet_run,aetrun_1e41392b737d_009,claude-sonnet-4-6,8,24,162647,5116,,1.185056,,,1
aet_run,aetrun_32d9d90d5156_016,claude-sonnet-4-6,2,8,0,71002,,0.796199,,,1
aet_run,aetrun_3f86a142abd9_015,claude-sonnet-4-6,2,8,0,70795,,0.857501,,,1
aet_run,aetrun_48f0057dc0a7_014,claude-sonnet-4-6,5,16,12939,95476,,1.346985,,,1
aet_run,aetrun_4be540c16e94_013,claude-sonnet-4-6,5,16,25878,82537,,1.332345,,,1
aet_run,aetrun_4ce923d5517d_010,claude-sonnet-4-6,5,16,12939,170048,,1.69602,,,1
aet_run,aetrun_4ce923d5517d_011,claude-sonnet-4-6,8,8,245589,20383,,1.479035,,,1
aet_run,aetrun_4ce923d5517d_012,claude-sonnet-4-6,8,16,25878,246105,,2.165694,,,1
aet_run,aetrun_514f6e2ceebb_008,claude-opus-4-8,2,8,13190,66746,,1.319909,,,1
aet_run,aetrun_7579e5580132_005,<synthetic>,0,0,0,0,,0.0,,,1
aet_run,aetrun_8c489619e405_001,claude-haiku-4-5-20251001,9,1,0,82198,,0.244917,,,1
aet_run,aetrun_8c489619e405_002,claude-haiku-4-5-20251001,9,1,0,82198,,0.272837,,,1
aet_run,aetrun_8c489619e405_003,claude-sonnet-4-6,8,17,0,290696,,3.624914,,,2
aet_run,aetrun_9bc96e126f4b_004,claude-sonnet-4-6,8,24,67142,104955,,1.583679,,,1
aet_run,aetrun_9bc96e126f4b_005,claude-sonnet-4-6,8,16,108357,63427,,1.483813,,,1
aet_run,aetrun_9bc96e126f4b_006,claude-sonnet-4-6,8,24,54154,119210,,1.614669,,,1
aet_run,aetrun_be62faa12b8d_017,claude-sonnet-4-6,2,8,12939,57289,,0.528609,,,1
aet_run,aetrun_c4e99b4c1fb1_009,claude-opus-4-8,2,3,13190,66951,,1.019993,,,1
aet_run,aetrun_caacd42a0476_007,claude-opus-4-8,4,11,93208,88044,,1.614176,,,2
aet_run,aetrun_ed15b7f5d6d8_001,claude-opus-4-8,8,8,59661,12616,,0.169504,,,1
aet_run,aetrun_f38047ddf4a5_002,claude-opus-4-8,2,2,13190,81305,,1.891432,,,1
aet_run,aetrun_f38047ddf4a5_003,claude-opus-4-8,4,7,188990,12652,,1.534112,,,1
aet_run,aetrun_f38047ddf4a5_004,claude-opus-4-8,2,2,94495,0,,0.951729,,,1
aet_run,aetrun_f9714579d2af_006,<synthetic>,0,0,0,0,,0.0,,,1
aet_run,aetrun_8c489619e405_001,claude-opus-4-6,2,9,0,82287,,1.600739,,,1
aet_run,aetrun_ed15b7f5d6d8_001,claude-opus-4-8,10,11,83770,22715,,0.299888,,,1
aet_run,aetrun_8c489619e405_001,claude-opus-4-6,2,9,7254,75033,,1.538378,,,1
aet_run,aetrun_ed15b7f5d6d8_001,claude-opus-4-8,8,9,59228,10653,,0.153012,,,1
aet_run,aetrun_8c489619e405_001,claude-haiku-4-5-20251001,9,5,0,82198,,0.231997,,,1
aet_run,aetrun_ed15b7f5d6d8_001,claude-opus-4-8,8,10,48147,22570,,0.264317,,,1
aet_run,aetrun_0cd864f21799_001,claude-opus-4-6,2,14,0,14467,,0.107454,,,1
aet_run,aetrun_ed15b7f5d6d8_001,claude-opus-4-8,8,9,59691,11761,,0.162823,,,1
aet_run,aetrun_0517b42d684b_450ab4_004,claude-sonnet-4-6,11,32,0,299730,,2.981267,,,1
aet_run,aetrun_22653eccb894_450ab4_001,claude-sonnet-4-6,8,24,0,172222,,1.823203,,,1
