arm,primary,repeat,passed,wall_s,cost_usd,cost_source,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,num_turns,harness_failed,error
sonnet,us.anthropic.claude-sonnet-4-6,0,1,8.264,0.042397,billed,3,134,13506,9523,1,0,
sonnet,us.anthropic.claude-sonnet-4-6,1,1,4.559,0.042385,billed,3,134,13506,9521,1,0,
sonnet,us.anthropic.claude-sonnet-4-6,2,1,4.399,0.04239,billed,3,134,13506,9521,1,0,
sonnet,us.anthropic.claude-sonnet-4-6,3,1,4.51,0.04239,billed,3,134,13506,9521,1,0,
sonnet,us.anthropic.claude-sonnet-4-6,4,1,4.813,0.042377,billed,3,134,13506,9519,1,0,
haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,0,1,10.167,0.035705,billed,10,1117,0,23596,1,0,
haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,1,1,9.139,0.018163,billed,10,838,14043,9555,1,0,
haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,2,1,9.673,0.018248,billed,10,855,14043,9551,1,0,
haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,3,1,8.89,0.018211,billed,10,848,14043,9553,1,0,
haiku,us.anthropic.claude-haiku-4-5-20251001-v1:0,4,1,10.939,0.019751,billed,10,1156,14043,9553,1,0,
