run_id,source,model,fresh_input_tokens,cache_read_tokens,cache_creation_tokens,cache_unsplit_tokens,billed_input_tokens,cache_share
atlas-npu_b2r_r1_mxu_r1.be257d46,results_jsonl,,513098,0,0,0,513098,0.0
atlas-npu_b2r_r1_mxu_r1_v1_tce.766b86da,results_jsonl,,416244,0,0,0,416244,0.0
atlas-npu_b2r_r1_mxu_r1.be257d46,results_jsonl,,81273,0,0,0,81273,0.0
atlas-npu_b2r_r1_mxu_r2.75082e2f,results_jsonl,,164477,0,0,0,164477,0.0
atlas-npu_b2r_r1_mxu_r1.be257d46,results_jsonl,,6,0,0,0,6,0.0
atlas-npu_b2r_r1_mxu_r2.75082e2f,results_jsonl,,6,0,0,0,6,0.0
,results_jsonl,claude-haiku-4-5-20251001,19199,0,19190,0,38389,0.4998827789210451
,results_jsonl,claude-haiku-4-5-20251001,19241,13348,5884,0,38473,0.49988303485561303
,results_jsonl,claude-haiku-4-5-20251001,19494,0,19485,0,38979,0.49988455322096514
,results_jsonl,claude-haiku-4-5-20251001,19536,13352,6175,0,39063,0.4998848014745411
,results_jsonl,claude-sonnet-4-6,52815,0,52807,0,105622,0.49996212910189164
,results_jsonl,<synthetic>,77080,0,77069,0,154149,0.4999643202356162
atlas-npu_b0_r0_whole_r1_sonnet.7f49cde2,results_jsonl,claude-sonnet-4-6,14050,0,14048,0,28098,0.4999644102783116
,results_jsonl,claude-sonnet-4-6,57609,38835,18766,0,115210,0.49996528079159797
atlas-npu_b0_r0_whole_r1_opus.f5f41dde,results_jsonl,claude-opus-4-6,14469,0,14467,0,28936,0.4999654409731822
atlas-npu_b2r_r1_mxu_r2_haiku.b3da5251,results_jsonl,claude-haiku-4-5-20251001,82207,0,82198,0,164405,0.4999726285696907
atlas-npu_b2r_r1_mxu_r3_haiku.9a64ac5b,results_jsonl,claude-haiku-4-5-20251001,82207,0,82198,0,164405,0.4999726285696907
atlas-npu_b2r_r1_mxu_r1_haiku.b352235a,results_jsonl,claude-haiku-4-5-20251001,82207,0,82198,0,164405,0.4999726285696907
,results_jsonl,claude-opus-4-6,19281,0,19279,0,38560,0.4999740663900415
,results_jsonl,claude-opus-4-6,19323,13364,5957,0,38644,0.4999741227616189
,results_jsonl,claude-opus-4-6,19572,0,19570,0,39142,0.49997445199529916
,results_jsonl,claude-opus-4-6,19572,13364,6206,0,39142,0.49997445199529916
,results_jsonl,claude-opus-4-6,19614,0,19612,0,39226,0.49997450670473664
,results_jsonl,claude-opus-4-6,22038,0,22036,0,44074,0.49997731088623676
,results_jsonl,claude-opus-4-6,22783,0,22781,0,45564,0.49997805284874025
atlas-npu_b4_r1_mxu_r1_sonnet.43df8659,results_jsonl,claude-sonnet-4-6,166296,38817,127471,0,332584,0.49998797296322134
atlas-npu_b4_r1_mxu_r3_sonnet.906150f4,results_jsonl,claude-sonnet-4-6,167771,162647,5116,0,335534,0.4999880787043936
atlas-npu_b3_r1_mxu_r3_sonnet.7ea5ce63,results_jsonl,claude-sonnet-4-6,167860,0,167852,0,335712,0.49998808502525977
