harness,repeat,cost_usd,cache_creation_tokens,cache_read_tokens
converse,0,0.002685,0,0
converse,1,0.002685,0,0
converse,2,0.002685,0,0
converse,3,0.002685,0,0
converse,4,0.002685,0,0
opencode,0,0.056398,14437,0
opencode,1,0.006455,0,14437
opencode,2,0.00659,0,14437
opencode,3,0.00659,0,14437
opencode,4,0.00659,0,14437
cli_native,0,0.091595,23723,0
cli_native,1,0.009751,0,23723
cli_native,2,0.009751,0,23723
cli_native,3,0.009751,0,23723
cli_native,4,0.009756,0,23723
cli_proxy,0,0.009746,0,23723
cli_proxy,1,0.009751,0,23723
cli_proxy,2,0.009751,0,23723
cli_proxy,3,0.009751,0,23723
cli_proxy,4,0.009746,0,23723
