run_id,model,source,four_class_usd,two_class_usd,ratio,cache_read_tokens,cache_creation_tokens
aetrun_8c489619e405_001,claude-haiku-4-5-20251001,aet_run,0.102762,0.082212,0.8,0,82198
aetrun_8c489619e405_002,claude-haiku-4-5-20251001,aet_run,0.102762,0.082212,0.8,0,82198
aetrun_35aaede5dbfc_450ab4_001,claude-sonnet-4-6,aet_run,0.666124,0.532926,0.8,0,177597
aetrun_3ee7b67d3814_adf6fb_001,claude-haiku-4-5-20251001,aet_run,0.02437,0.019499,0.8001,0,19485
aetrun_6dcf9b7f4648_450ab4_001,claude-sonnet-4-6,aet_run,0.407036,0.32568,0.8001,0,108475
aetrun_6dcf9b7f4648_450ab4_002,claude-sonnet-4-6,aet_run,0.407036,0.32568,0.8001,0,108475
aetrun_6dcf9b7f4648_450ab4_003,claude-sonnet-4-6,aet_run,0.629709,0.50382,0.8001,0,167852
aetrun_06979ef0fea7_018,claude-sonnet-4-6,aet_run,0.268491,0.214818,0.8001,0,71564
aetrun_32d9d90d5156_016,claude-sonnet-4-6,aet_run,0.266383,0.213132,0.8001,0,71002
aetrun_3f86a142abd9_015,claude-sonnet-4-6,aet_run,0.265607,0.212511,0.8001,0,70795
aetrun_8c489619e405_003,claude-sonnet-4-6,aet_run,1.090389,0.872367,0.8001,0,290696
aetrun_8c489619e405_001,claude-opus-4-6,aet_run,0.514529,0.41167,0.8001,0,82287
aetrun_8c489619e405_001,claude-haiku-4-5-20251001,aet_run,0.102781,0.082232,0.8001,0,82198
aetrun_0517b42d684b_450ab4_004,claude-sonnet-4-6,aet_run,1.1245,0.899703,0.8001,0,299730
aetrun_22653eccb894_450ab4_001,claude-sonnet-4-6,aet_run,0.646216,0.51705,0.8001,0,172222
aetrun_22653eccb894_450ab4_003,claude-sonnet-4-6,aet_run,0.613164,0.490608,0.8001,0,163408
aetrun_5462e4f03aa4_5bcd68_001,claude-opus-4-6,aet_run,0.514679,0.41179,0.8001,0,82311
aetrun_5462e4f03aa4_5bcd68_009,claude-opus-4-6,aet_run,0.514679,0.41179,0.8001,0,82311
aetrun_6758d4402508_5bcd68_006,claude-opus-4-6,aet_run,0.456354,0.36513,0.8001,0,72979
aetrun_7272d0598bf9_5bcd68_010,claude-opus-4-6,aet_run,0.455222,0.364225,0.8001,0,72798
aetrun_7b481c90229a_5bcd68_002,claude-opus-4-6,aet_run,0.455941,0.3648,0.8001,0,72913
aetrun_ee9a9a4ec4e3_001,claude-haiku-4-5-20251001,aet_run,0.024012,0.019214,0.8002,0,19190
aetrun_90a299d409bd_5bcd68_001,claude-opus-4-6,aet_run,0.142616,0.11414,0.8003,0,22781
aetrun_c5195201592d_450ab4_002,claude-sonnet-4-6,aet_run,0.289402,0.2316,0.8003,0,77069
aetrun_334de8084463_450ab4_001,claude-sonnet-4-6,aet_run,0.19841,0.158805,0.8004,0,52807
aetrun_4b584735b5b5_5bcd68_001,claude-opus-4-6,aet_run,0.138035,0.11049,0.8004,0,22036
aetrun_ee9a9a4ec4e3_001,claude-opus-4-6,aet_run,0.120729,0.09663,0.8004,0,19279
